,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
183,"('苹果', 2.0)","('宣布', 2.0)","('手机', 2.0)","('降价', 2.0)","('受益', 2.0)","('产业链', 2.0)","('股票', 2.0)","('名单', 2.0)",,,,,,,,
184,"('Google', 2.4)","('客户', 2.0)","('供应商', 2.0)","('翻脸', 2.0)","('移动', 2.0)","('能否', 2.0)","('继续', 2.0)","('增长', 1.0)",,,,,,,,
185,"('艾可', 6.6)","('突击', 2.0)","('入股', 2.0)","('能否', 2.0)","('IPO', 1.2)","('顺利', 1.0)",,,,,,,,,,
186,"('区块', 2.0)","('概念', 2.0)","('中科', 2.0)","('地板', 1.0)",,,,,,,,,,,,
187,"('财经', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
188,"('股票', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
189,"('李逵', 2.2)","('满天飞', 2.0)","('讲课', 2.0)","('院士', 2.0)","('大网', 2.0)","('龙头', 1.0)",,,,,,,,,,
190,"('区块', 2.0)","('概念', 2.0)","('受热', 2.0)","('链', 1.58)",,,,,,,,,,,,
191,"('高毅', 6.6)","('曝光', 2.0)","('淡水', 2.0)",,,,,,,,,,,,,
192,"('少年', 2.0)","('票房', 2.0)","('公司', 2.0)",,,,,,,,,,,,,
193,"('上市', 3.04)","('首日', 2.2)","('商行', 2.0)","('还有', 2.0)","('银行', 2.0)",,,,,,,,,,,
194,"('票房', 4.39)","('黑马', 2.0)","('少年', 2.0)","('公司', 2.0)",,,,,,,,,,,,
195,"('面值', 2.0)","('困境', 2.0)",,,,,,,,,,,,,,
